question,questionLabel
Q53_3,What are your households approximate monthly energy bills in the / SUMMER? (dollars)-Coal                                                                                                          
Q53_4,What are your households approximate monthly energy bills in the / SUMMER? (dollars)-Wood                                                                                                        
Q53_5,What are your households approximate monthly energy bills in the / SUMMER? (dollars)-Petrol
Q53_6,What are your households approximate monthly energy bills in the / SUMMER? (dollars)-Diesel
Q53_7,What are your households approximate monthly energy bills in the / SUMMER? (dollars)-Other
Q54_1,What are your household approximate monthly energy bills in the / WINTER? (dollars) -Electricity                                                                                                 
Q54_2,What are your household approximate monthly energy bills in the / WINTER? (dollars) -Gas                                                                                                           
Q54_3,What are your household approximate monthly energy bills in the / WINTER? (dollars) -Coal                                                                                                          
Q54_4,What are your household approximate monthly energy bills in the / WINTER? (dollars) -Wood                                                                                                        
Q54_5,What are your household approximate monthly energy bills in the / WINTER? (dollars) -Petrol  
Q54_6,What are your household approximate monthly energy bills in the / WINTER? (dollars) -Diesel
Q54_7,What are your household approximate monthly energy bills in the / WINTER? (dollars) -Other
Q55,What is your approximate combined household income before / tax? 
Q56,Have you ever gone without heating/power because you felt unable to / pay for it?
Q57,How many people live in your household?
Q58#1_1,About you and your household members : Gender-You
Q58#2_1,About you and your household members : Year of birth-You
Q58#3_1,About you and your household members : Employment status-You
Q58#4_1,About you and your household members : Highest educational qualification-You
Q59#1_2,About you and your household members : Gender-The second member of your household
Q59#2_2,About you and your household members : Year of birth-The second member of your household
Q59#3_2,About you and your household members : Employment status-The second member of your household
Q59#4_2,About you and your household members : Highest educational qualification-The second member of your household
Q60#1_3,About you and your household members : Gender-The third member of your household
Q60#2_3,About you and your household members : Year of birth-The third member of your household
Q60#3_3,About you and your household members : Employment status-The third member of your household
Q60#4_3,About you and your household members : Highest educational qualification-The third member of your household
Q61#1_4,About you and your household members : Gender-The fourth member of your household
Q61#2_4,About you and your household members : Year of birth-The fourth member of your household
Q61#3_4,About you and your household members : Employment status-The fourth member of your household
Q61#4_4,About you and your household members : Highest educational qualification-The fourth member of your household
Q62#1_5,About you and your household members : Gender-The fifth member of your household
Q62#2_5,About you and your household members : Year of birth-The fifth member of your household
Q62#3_5,About you and your household members : Employment status-The fifth member of your household
Q62#4_5,About you and your household members : Highest educational qualification-The fifth member of your household
Q63#1_6,About you and your household members : Gender-The sixth member of your household
Q63#2_6,About you and your household members : Year of birth-The sixth member of your household
Q63#3_6,About you and your household members : Employment status-The sixth member of your household
Q63#4_6,About you and your household members : Highest educational qualification-The sixth member of your household
Q64#1_1,About you and your household members : Gender-The seventh member of your household
Q64#2_1,About you and your household members : Year of birth-The seventh member of your household
Q64#3_1,About you and your household members : Employment status-The seventh member of your household
Q64#4_1,About you and your household members : Highest educational qualification-The seventh member of your household
Q65#1_1,About you and your household members : Gender-The eighth member of your household
Q65#2_1,About you and your household members : Year of birth-The eighth member of your household
Q65#3_1,About you and your household members : Employment status-The eighth member of your household
Q65#4_1,About you and your household members : Highest educational qualification-The eighth member of your household
Q66#1_1,About you and your household members : Gender-The ninth member of your household
Q66#2_1,About you and your household members : Year of birth-The ninth member of your household
Q66#3_1,About you and your household members : Employment status-The ninth member of your household
Q66#4_1,About you and your household members : Highest educational qualification-The ninth member of your household
Q67#1_1,About you and your household members : Gender-The tenth member of your household
Q67#2_1,About you and your household members : Year of birth-The tenth member of your household
Q67#3_1,About you and your household members : Employment status-The tenth member of your household
Q67#4_1,About you and your household members : Highest educational qualification-The tenth member of your household
Q68#1_1,About you and your household members : Gender-The eleventh member of your household
Q68#2_1,About you and your household members : Year of birth-The eleventh member of your household
Q68#3_1,About you and your household members : Employment status-The eleventh member of your household
Q68#4_1,About you and your household members : Highest educational qualification-The eleventh member of your household
Q69#1_1,About you and your household members : Gender-The twelfth member of your household
Q69#2_1,About you and your household members : Year of birth-The twelfth member of your household
Q69#3_1,About you and your household members : Employment status-The twelfth member of your household
Q69#4_1,About you and your household members : Highest educational qualification-The twelfth member of your household
Q70,What is your ethnicity?
LocationLatitude,LocationLatitude
LocationLongitude,LocationLongitude
LocationAccuracy,LocationAccuracy
